Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death
44657,US-Mexico Border,11-Mar-18,2018,Mar,1,,1,1,,1,,Unknown
44656,US-Mexico Border,11-Mar-18,2018,Mar,1,,1,4,,1,,Drowning
44675,US-Mexico Border,10-Mar-18,2018,Mar,1,,1,,,1,,Unknown
45717,US-Mexico Border,9-Mar-18,2018,Mar,1,,1,,,1,,Unknown
44699,US-Mexico Border,8-Mar-18,2018,Mar,1,,1,,,1,,Unknown (skeletal remains)
44673,US-Mexico Border,7-Mar-18,2018,Mar,1,,1,,,1,,Drowning
44649,Central America,5-Mar-18,2018,Mar,1,,1,,,1,,Hit by train
44647,US-Mexico Border,1-Mar-18,2018,Mar,1,,1,,,1,,Unknown
45735,US-Mexico Border,1-Mar-18,2018,Mar,1,,1,,,,,Drowning
44658,US-Mexico Border,28-Feb-18,2018,Feb,1,,1,,,,,Unknown
45762,US-Mexico Border,27-Feb-18,2018,Feb,1,,1,,,1,,Presumed drowning
44627,US-Mexico Border,27-Feb-18,2018,Feb,,3,3,,,,,Presumed drowning
44639,US-Mexico Border,27-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44638,US-Mexico Border,27-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44625,South America,26-Feb-18,2018,Feb,2,,2,,,2,2,Plane stowaway
44619,Central America,23-Feb-18,2018,Feb,1,,1,25,,1,,Shot
44620,US-Mexico Border,23-Feb-18,2018,Feb,1,,1,5,,1,,Hypothermia
44642,Central America,23-Feb-18,2018,Feb,1,,1,3,,1,,Shot
44601,Central America,21-Feb-18,2018,Feb,3,,3,2,1,2,,Vehicle Accident
44637,US-Mexico Border,20-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44641,Central America,19-Feb-18,2018,Feb,1,,1,,,1,,Hit by train
44417,Central America,18-Feb-18,2018,Feb,1,,1,,,1,,Hit by train
44416,US-Mexico Border,18-Feb-18,2018,Feb,1,,1,,,1,,Drowning
44636,US-Mexico Border,17-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44635,US-Mexico Border,17-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44618,US-Mexico Border,16-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44617,US-Mexico Border,15-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44415,US-Mexico Border,15-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44414,US-Mexico Border,14-Feb-18,2018,Feb,1,,1,,,1,,Fall into a canyon
44634,US-Mexico Border,14-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
44616,US-Mexico Border,14-Feb-18,2018,Feb,1,,1,,,,,Unknown (skeletal remains)
44410,US-Mexico Border,12-Feb-18,2018,Feb,1,,1,,,1,,Drowning
44402,US-Mexico Border,10-Feb-18,2018,Feb,1,,1,,,1,,Drowning
45734,US-Mexico Border,8-Feb-18,2018,Feb,1,,1,,,,,Drowning
44397,US-Mexico Border,5-Feb-18,2018,Feb,1,,1,,,1,,Drowning
44633,US-Mexico Border,5-Feb-18,2018,Feb,1,,1,,,1,,Unknown (skeletal remains)
45797,US-Mexico Border,5-Feb-18,2018,Feb,1,,1,,,,,Unknown (skeletal remains)
44396,US-Mexico Border,3-Feb-18,2018,Feb,1,,1,,,1,,Violence
44378,US-Mexico Border,31-Jan-18,2018,Jan,1,,1,,,1,,Drowning
44646,US-Mexico Border,31-Jan-18,2018,Jan,1,,1,,,1,,Unknown
44380,US-Mexico Border,31-Jan-18,2018,Jan,1,,1,,,1,,Drowning
44379,US-Mexico Border,31-Jan-18,2018,Jan,1,,1,,,1,,Drowning
44363,Central America,27-Jan-18,2018,Jan,1,,1,,,1,,Murdered
44114,US-Mexico Border,26-Jan-18,2018,Jan,1,,1,,,1,,Drowning
44115,Central America,25-Jan-18,2018,Jan,1,,1,33,,1,,Vehicle Accident
44112,Central America,24-Jan-18,2018,Jan,1,,1,,,1,,Hit by train
44632,US-Mexico Border,24-Jan-18,2018,Jan,1,,1,,,1,,Unknown (skeletal remains)
44108,US-Mexico Border,23-Jan-18,2018,Jan,1,,1,,1,,,Drowning
44621,Central America,22-Jan-18,2018,Jan,1,,1,,,1,,Hit by train
44104,US-Mexico Border,21-Jan-18,2018,Jan,5,,5,,,5,,Exposure
45796,US-Mexico Border,20-Jan-18,2018,Jan,1,,1,,,,,Unknown (skeletal remains)
44631,US-Mexico Border,19-Jan-18,2018,Jan,1,,1,,,1,,Unknown (skeletal remains)
44651,US-Mexico Border,19-Jan-18,2018,Jan,1,,1,,,1,,Exposure
44630,US-Mexico Border,17-Jan-18,2018,Jan,1,,1,,,1,,Unknown (skeletal remains)
44095,US-Mexico Border,15-Jan-18,2018,Jan,1,,1,,,,1,Hypothermia
44629,US-Mexico Border,14-Jan-18,2018,Jan,1,,1,,,1,,Unknown (skeletal remains)
44088,Caribbean,10-Jan-18,2018,Jan,5,13,18,,2,2,,Presumed drowning
44377,US-Mexico Border,4-Jan-18,2018,Jan,1,,1,,,1,,Unknown (skeletal remains)
44054,US-Mexico Border,3-Jan-18,2018,Jan,1,,1,,,1,,Drowning
44376,US-Mexico Border,2-Jan-18,2018,Jan,1,,1,,,1,,Unknown (skeletal remains)
44628,US-Mexico Border,2-Jan-18,2018,Jan,1,,1,,,1,,Unknown (skeletal remains)
44375,US-Mexico Border,2-Jan-18,2018,Jan,1,,1,,,,,Unknown
44083,South America,1-Jan-18,2018,Jan,4,,4,2,1,3,,Vehicle Accident
44372,US-Mexico Border,31-Dec-17,2017,Dec,1,,1,,,,,Unknown
44391,US-Mexico Border,31-Dec-17,2017,Dec,2,,2,,,,,Mixed
44689,Central America,31-Dec-17,2017,Dec,7,,7,,,,,Mixed
